#data downloaded from http://stats.nba.com/leaders/alltime/#!?SeasonType=Regular%20Season&StatCategory=MIN 5/17/15
#TS = true shooting percentage, adjusts for 3PA and FT
Player	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	eFG%	TS%
Artis Gilmore	909	32.7	17.1	6.3	10.5	59.9	0.0	0.0	7.7	4.5	6.3	71.3	2.9	7.2	10.1	2.0	0.5	1.9	2.8	59.9	64.3
George King	411	32.6	10.3	3.7	9.7	38.2	-	-	-	2.9	4.5	64.2	-	-	3.9	4.8	-	-	-	38.2	44.1
Chris Mullin	986	32.6	18.2	6.8	13.4	50.9	0.8	2.2	38.4	3.7	4.2	86.5	1.0	3.1	4.1	3.5	1.6	0.6	2.3	54.0	59.4
Reggie Lewis	450	32.6	17.6	7.1	14.6	48.8	0.1	0.3	20.0	3.3	4.0	82.4	1.3	3.0	4.3	2.6	1.3	0.9	1.6	49.0	53.8
Caron Butler	864	32.6	14.3	5.3	12.2	43.4	0.9	2.5	34.9	2.9	3.4	84.7	1.3	3.8	5.1	2.3	1.3	0.2	1.8	46.9	52.3
Hersey Hawkins	983	32.6	14.7	5.0	10.8	46.1	1.2	3.2	39.4	3.5	4.1	87.0	0.8	2.8	3.6	2.9	1.7	0.3	1.9	51.8	58.5
Mike Conley	581	32.6	13.4	4.9	11.2	44.2	1.1	3.0	37.5	2.4	3.0	80.3	0.4	2.4	2.9	5.6	1.5	0.2	2.1	49.3	53.7
Rajon Rondo	573	32.6	10.8	4.5	9.6	47.0	0.2	0.8	26.3	1.6	2.5	60.9	1.1	3.6	4.7	8.3	1.8	0.1	2.8	48.1	50.3
Jeff Green	556	32.6	14.3	5.3	12.0	43.9	1.1	3.1	34.2	2.7	3.5	79.1	1.0	3.9	5.0	1.6	0.8	0.6	1.7	48.4	53.0
Truck Robinson	772	32.6	15.5	6.2	12.9	48.3	0.0	0.0	100	3.1	4.6	66.2	2.6	6.8	9.4	1.7	0.7	0.7	3.0	48.3	52.0
Yao Ming	486	32.5	19.0	7.0	13.3	52.4	0.0	0.0	20.0	5.1	6.1	83.3	2.5	6.7	9.2	1.6	0.4	1.9	2.7	52.5	59.6
Vin Baker	791	32.5	15.0	5.9	12.2	48.5	0.0	0.2	21.5	3.1	4.8	63.8	2.9	4.6	7.4	1.9	0.7	1.0	2.2	48.7	52.2
Vern Mikkelsen	699	32.5	14.4	5.1	12.6	40.3	-	-	-	4.2	5.5	76.6	-	-	9.4	2.2	-	-	-	40.3	47.8
Archie Clark	725	32.5	16.3	6.5	13.5	48.0	-	-	-	3.4	4.4	76.9	0.6	1.8	3.3	4.8	1.1	0.1	-	48.0	52.9
Gail Goodrich	1,031	32.5	18.6	7.2	15.8	45.6	-	-	-	4.2	5.2	80.7	1.1	1.6	3.2	4.7	1.3	0.2	2.5	45.6	51.4
Bobby Wanzer	568	32.5	12.2	4.0	10.2	39.3	-	-	-	4.2	5.2	80.2	-	-	4.5	3.2	-	-	-	39.3	48.9
Buck Williams	1,307	32.5	12.8	4.9	8.9	54.9	0.0	0.0	16.7	3.0	4.6	66.4	3.5	6.5	10.0	1.3	0.8	0.8	2.1	54.9	58.7
Brook Lopez	414	32.5	17.9	7.0	13.7	51.1	0.0	0.0	5.9	3.9	4.9	79.2	2.8	4.5	7.3	1.3	0.6	1.7	1.9	51.1	56.4
James Worthy	926	32.4	17.6	7.4	14.3	52.1	0.1	0.5	24.1	2.6	3.4	76.9	1.7	3.4	5.1	3.0	1.1	0.7	2.0	52.5	55.9
Chet Walker	1,032	32.4	18.2	6.7	14.2	47.0	-	-	-	4.9	6.2	79.6	1.6	3.8	7.1	2.1	0.7	0.1	-	47.0	54.0
Joe Barry Carroll	705	32.4	17.7	7.1	15.0	47.4	0.0	0.0	0.0	3.4	4.6	74.7	2.4	5.3	7.7	1.8	1.0	1.6	2.8	47.4	51.9
Rodney McCray	768	32.4	11.7	4.6	9.1	50.3	0.1	0.3	26.0	2.5	3.3	76.1	2.1	4.5	6.6	3.6	0.8	0.6	1.8	50.7	55.6
Tony Parker	1,008	32.4	16.9	6.7	13.6	49.4	0.4	1.4	32.3	3.0	4.0	75.3	0.4	2.5	2.9	5.9	0.9	0.1	2.5	51.1	55.0
Richie Guerin	848	32.4	17.3	6.1	14.7	41.6	-	-	-	5.1	6.5	78.0	-	-	5.0	5.0	-	-	-	41.6	49.3
James Harden	452	32.3	19.7	5.8	13.1	44.4	2.0	5.3	37.0	6.1	7.2	85.4	0.7	3.6	4.3	4.4	1.4	0.4	2.7	51.9	60.7
Mike Mitchell	759	32.3	19.8	8.4	17.0	49.3	0.0	0.1	21.6	3.0	3.8	77.9	2.0	3.6	5.6	1.3	0.7	0.5	1.7	49.4	52.9
Tom Gola	698	32.3	11.3	4.2	9.9	43.1	-	-	-	2.8	3.7	76.0	-	-	8.0	4.2	-	-	-	43.1	49.1
Wesley Matthews	441	32.2	14.3	4.9	11.1	44.3	2.0	5.1	39.3	2.5	3.0	82.5	0.6	2.5	3.1	2.1	1.1	0.2	1.4	53.4	57.7
Bailey Howell	950	32.2	18.7	6.9	14.3	48.0	-	-	-	5.0	6.6	76.2	-	-	9.9	2.0	-	-	-	48.0	54.4
Randy Smith	976	32.2	16.7	6.8	14.6	47.0	0.0	0.1	15.5	3.0	3.8	78.1	1.1	2.4	3.7	4.6	1.7	0.1	2.4	47.0	51.3
Zelmo Beaty	570	32.2	16.0	6.0	12.7	46.9	-	-	-	4.1	5.4	75.0	1.3	3.4	10.4	1.5	0.7	0.4	-	46.9	53.0
Andy Phillip	701	32.2	9.1	3.3	9.0	36.8	-	-	-	2.5	3.6	69.5	-	-	4.4	5.4	-	-	-	36.8	43.0
Guy Rodgers	892	32.1	11.7	4.6	12.2	37.8	-	-	-	2.4	3.4	72.1	-	-	4.3	7.8	-	-	-	37.8	42.6
Amar'e Stoudemire	794	32.1	19.8	7.3	13.6	53.6	0.0	0.2	23.6	5.2	6.8	76.1	2.5	5.6	8.1	1.3	0.8	1.3	2.4	53.8	59.7
Richard Hamilton	921	32.1	17.1	6.5	14.4	44.9	0.6	1.7	34.6	3.5	4.1	85.2	0.9	2.2	3.1	3.4	0.8	0.1	2.1	46.9	52.5
Jim McMillian	631	32.1	13.8	5.8	12.0	48.2	-	-	-	2.3	2.8	83.2	1.6	3.6	5.3	2.5	1.1	0.2	1.2	48.2	52.5
Bill Sharman	711	32.0	17.8	6.7	15.7	42.6	-	-	-	4.4	5.0	88.3	-	-	3.9	3.0	-	-	-	42.6	49.7
Tayshaun Prince	940	32.0	11.8	4.8	10.5	45.5	0.6	1.6	37.0	1.6	2.1	75.7	1.2	3.3	4.5	2.5	0.6	0.5	1.1	48.3	51.5
David Thompson	509	32.0	22.1	8.3	16.4	50.4	0.0	0.2	27.7	5.5	7.1	77.8	1.4	2.3	3.8	3.2	0.9	0.8	2.6	50.5	56.6
Earl Monroe	926	32.0	18.8	7.5	16.1	46.4	0.0	0.0	0.0	3.9	4.9	80.7	0.6	2.1	3.0	3.9	1.0	0.3	1.6	46.4	51.7
Zach Randolph	916	32.0	17.1	6.8	14.3	47.3	0.1	0.5	26.2	3.4	4.4	76.3	3.1	6.4	9.5	1.8	0.8	0.3	2.2	47.7	52.4
Rashard Lewis	1,049	32.0	14.9	5.4	11.9	45.2	1.7	4.4	38.6	2.4	3.0	80.5	1.4	3.8	5.2	1.7	1.1	0.5	1.5	52.4	56.3
Michael Redd	629	32.0	19.0	6.7	15.0	44.7	1.7	4.4	38.0	4.0	4.8	83.8	1.0	2.8	3.8	2.1	0.9	0.1	1.5	50.3	55.8
Stephen Jackson	858	31.9	15.1	5.4	13.0	41.4	1.5	4.4	33.3	2.9	3.7	79.8	0.8	3.1	3.9	3.1	1.3	0.4	2.5	47.1	51.9
Alex English	1,193	31.9	21.5	8.9	17.6	50.7	0.0	0.1	21.7	3.6	4.3	83.2	2.3	3.2	5.5	3.6	0.9	0.7	2.5	50.7	55.0
David Wesley	949	31.9	12.5	4.5	10.6	42.4	1.2	3.2	36.8	2.3	3.0	78.6	0.6	2.0	2.5	4.4	1.3	0.2	1.9	48.0	52.6
Harry Gallatin	682	31.9	13.0	4.1	10.3	39.8	-	-	-	4.7	6.1	77.3	-	-	11.9	1.8	-	-	-	39.8	49.7
Bill Calhoun	442	31.9	7.8	2.6	7.8	34.1	-	-	-	2.5	3.5	70.2	-	-	4.0	2.3	-	-	-	34.1	41.8
Bob Love	789	31.8	17.6	6.9	16.1	42.9	-	-	-	3.8	4.7	80.5	2.0	3.7	5.9	1.4	0.8	0.2	-	42.9	48.5
Elmore Smith	562	31.8	13.4	5.6	11.7	48.2	-	-	-	2.1	3.7	57.9	2.3	7.1	10.6	1.4	0.8	2.9	1.7	48.2	50.3
Jason Terry	1,213	31.8	14.8	5.4	12.2	44.6	1.7	4.5	38.0	2.2	2.6	84.6	0.4	2.1	2.5	4.2	1.2	0.2	1.9	51.6	55.4
Sam Lacey	1,002	31.8	10.3	4.3	9.7	44.1	0.0	0.0	18.8	1.7	2.4	73.8	2.2	6.9	9.7	3.7	1.3	1.5	2.2	44.1	48.0
Bill Laimbeer	1,068	31.8	12.9	5.2	10.5	49.8	0.2	0.6	32.6	2.3	2.7	83.7	2.6	7.1	9.7	2.0	0.7	0.9	1.5	50.7	55.2
Jack Twyman	823	31.8	19.2	7.6	16.9	45.0	-	-	-	4.1	5.3	77.8	-	-	6.6	2.3	-	-	-	45.0	50.2
David West	815	31.8	15.5	6.3	12.8	48.9	0.1	0.2	25.0	3.0	3.6	82.0	2.0	5.2	7.2	2.3	0.8	0.8	1.8	49.2	54.0
John Stockton	1,504	31.8	13.1	4.7	9.1	51.5	0.6	1.5	38.4	3.2	3.9	82.6	0.6	2.1	2.7	10.5	2.2	0.2	2.8	54.6	60.8
Isaiah Rider	563	31.7	16.7	6.4	14.4	44.3	1.2	3.4	35.2	2.8	3.4	81.2	1.2	2.6	3.8	2.7	0.7	0.2	2.5	48.4	52.6
Emeka Okafor	590	31.7	12.3	5.0	9.8	51.2	0.0	0.0	0.0	2.3	3.9	58.4	3.2	6.7	9.9	0.9	0.7	1.7	1.6	51.2	53.5
Otis Thorpe	1,257	31.7	14.0	5.5	10.0	54.6	0.0	0.1	4.7	3.1	4.5	68.7	2.7	5.5	8.2	2.2	0.7	0.4	2.2	54.6	58.4
Kirk Hinrich	833	31.7	11.4	4.1	10.1	41.2	1.4	3.7	37.5	1.7	2.1	79.9	0.4	2.6	3.0	5.0	1.1	0.3	1.9	48.0	51.6
Lafayette Lever	752	31.7	13.9	5.6	12.6	44.7	0.2	0.7	31.0	2.4	3.1	77.1	1.9	4.1	6.0	6.2	2.2	0.3	2.0	45.5	49.6
Alvin Robertson	779	31.7	14.0	5.7	11.9	47.7	0.3	1.0	29.5	2.3	3.1	74.3	2.1	3.1	5.2	5.0	2.7	0.4	2.7	49.0	52.7
Dennis Rodman	911	31.7	7.3	3.0	5.8	52.1	0.1	0.4	23.1	1.2	2.0	58.4	4.8	8.4	13.1	1.8	0.7	0.6	1.6	52.9	54.6
Maurice Cheeks	1,101	31.6	11.1	4.5	8.5	52.3	0.0	0.2	25.5	2.1	2.7	79.3	0.6	2.2	2.8	6.7	2.1	0.3	2.1	52.6	57.2
Chauncey Billups	1,043	31.6	15.2	4.5	10.9	41.5	1.8	4.5	38.7	4.3	4.8	89.4	0.5	2.4	2.9	5.4	1.0	0.2	2.0	49.5	58.0
Dan Majerle	955	31.6	11.4	4.1	9.6	43.1	1.4	4.0	35.8	1.7	2.4	74.1	1.2	3.3	4.5	2.9	1.3	0.4	1.2	50.5	53.8
Keith Van Horn	575	31.6	16.0	5.9	13.3	44.3	1.0	2.9	36.1	3.2	3.8	83.5	2.0	4.8	6.8	1.6	0.8	0.5	2.2	48.2	53.4
Rony Seikaly	678	31.6	14.7	5.4	11.1	48.4	0.0	0.0	18.8	4.0	5.8	67.9	3.2	6.3	9.5	1.3	0.7	1.3	2.8	48.4	53.8
Danny Granger	586	31.5	16.8	5.7	13.1	43.4	1.7	4.5	38.0	3.7	4.4	84.8	1.2	3.8	4.9	1.9	1.0	0.8	1.9	50.0	56.0
Jeff Hornacek	1,077	31.5	14.5	5.5	11.1	49.6	0.8	1.9	40.3	2.8	3.1	87.7	0.9	2.5	3.4	4.9	1.4	0.2	1.8	53.0	58.2
Doug Christie	827	31.5	11.2	3.9	9.2	42.6	1.0	2.7	35.4	2.4	3.0	82.1	1.0	3.1	4.1	3.6	1.9	0.5	2.1	47.9	53.5
David Lee	695	31.5	14.7	6.0	11.2	53.3	0.0	0.0	3.6	2.7	3.5	77.5	2.7	6.7	9.5	2.3	0.8	0.4	1.9	53.3	57.5
Derek Harper	1,199	31.5	13.3	5.2	11.2	46.3	0.9	2.5	35.4	2.1	2.9	74.5	0.6	1.8	2.4	5.5	1.6	0.3	1.9	50.3	53.7
Andre Miller	1,265	31.5	12.8	4.7	10.3	46.0	0.2	0.7	21.7	3.2	3.9	80.7	1.1	2.7	3.8	6.7	1.2	0.2	2.4	46.7	53.2
Dan Roundfield	746	31.4	15.2	5.7	11.9	48.5	0.0	0.1	11.5	3.7	5.0	73.8	3.3	6.4	9.7	2.2	0.9	1.5	2.6	48.5	54.0
Charles Oakley	1,282	31.4	9.7	3.8	8.0	47.1	0.1	0.2	25.3	2.1	2.7	76.1	3.1	6.5	9.5	2.5	1.1	0.3	2.2	47.4	52.6
Calvin Natt	599	31.4	17.2	6.7	12.7	52.8	0.0	0.1	21.9	3.8	4.9	76.8	2.3	4.5	6.8	2.2	0.9	0.3	2.1	52.9	57.9
Happy Hairston	776	31.4	14.8	5.5	11.4	47.8	-	-	-	3.9	5.3	74.1	4.2	8.9	10.3	1.6	0.8	0.2	-	47.8	53.9
Jack George	506	31.3	10.2	3.8	10.3	36.4	-	-	-	2.7	3.8	70.4	-	-	4.2	4.3	-	-	-	36.4	42.4
Bob Davies	462	31.3	14.3	5.0	13.1	37.8	-	-	-	4.4	5.7	75.9	-	-	2.9	4.9	-	-	-	37.8	45.6
Michael Adams	653	31.3	14.7	5.0	12.0	41.5	1.5	4.4	33.2	3.3	3.9	84.9	0.6	2.3	2.9	6.4	1.7	0.1	2.1	47.5	53.6
O.J. Mayo	506	31.3	14.3	5.3	12.3	43.2	1.6	4.2	37.7	2.1	2.6	82.2	0.5	2.6	3.2	2.9	1.0	0.3	2.1	49.6	53.3
Steve Nash	1,217	31.3	14.3	5.2	10.6	49.0	1.4	3.2	42.8	2.5	2.8	90.4	0.5	2.5	3.0	8.5	0.7	0.1	2.9	55.6	60.5
Greg Monroe	378	31.3	14.3	5.7	11.3	50.5	0.0	0.0	0.0	2.9	4.2	69.3	3.2	6.0	9.2	2.3	1.2	0.6	2.1	50.5	54.5
Carlos Boozer	861	31.2	16.2	6.8	13.0	52.1	0.0	0.0	7.1	2.6	3.7	72.2	2.4	7.1	9.5	2.2	0.9	0.4	2.1	52.1	55.4
Steve Stipanovich	403	31.2	13.2	5.0	10.3	48.4	0.0	0.1	17.9	3.2	4.0	79.6	1.9	5.9	7.8	2.3	1.0	0.9	1.9	48.6	54.7
Arlen Bockhorn	474	31.2	11.5	4.7	11.8	40.3	-	-	-	2.0	2.6	74.8	-	-	4.7	3.5	-	-	-	40.3	44.3
Ray Scott	684	31.2	14.9	5.7	14.1	40.5	-	-	-	3.5	4.8	72.0	-	-	10.5	2.4	-	-	-	40.5	45.9
Jamal Crawford	1,021	31.2	15.6	5.4	13.2	41.0	1.8	5.1	35.0	3.0	3.5	85.8	0.4	2.0	2.4	3.7	1.0	0.2	2.0	47.8	53.0
Jerry Stackhouse	970	31.2	16.9	5.6	13.6	40.9	1.0	3.3	30.9	4.8	5.8	82.2	1.0	2.2	3.2	3.3	0.9	0.5	2.7	44.6	52.4
Nick Anderson	800	31.2	14.4	5.5	12.4	44.6	1.3	3.7	35.6	2.1	3.1	66.7	1.3	3.8	5.1	2.6	1.4	0.5	1.7	50.0	52.5
Ty Lawson	416	31.1	14.2	5.1	10.9	46.6	1.0	2.6	36.9	3.1	4.0	77.1	0.7	2.2	2.9	6.6	1.2	0.1	2.2	51.0	56.1
Dan Issel	718	31.1	20.4	7.6	14.9	50.6	0.0	0.1	25.3	5.3	6.6	79.7	2.3	5.6	7.9	2.5	1.0	0.6	2.0	50.7	57.2
Brian Taylor	330	31.1	12.3	4.9	10.0	48.7	0.5	1.3	37.6	2.1	2.6	80.3	0.9	1.5	2.4	4.5	1.8	0.2	1.7	51.1	55.3
Wilson Chandler	445	31.1	13.7	5.3	12.0	44.2	1.3	3.8	33.9	1.8	2.3	77.7	1.1	4.2	5.3	1.8	0.8	0.7	1.4	49.6	52.6
Gus Williams	825	31.1	17.1	7.0	15.2	46.1	0.1	0.6	23.8	2.9	3.8	75.6	1.0	1.7	2.7	5.6	2.0	0.4	2.5	46.5	50.5
Otis Birdsong	696	31.1	18.0	7.7	15.2	50.6	0.1	0.3	27.4	2.6	3.9	65.5	1.3	1.7	3.0	3.2	1.2	0.2	2.1	50.9	53.3
Ron Mercer	432	31.1	13.6	5.8	13.4	42.9	0.1	0.6	25.0	2.0	2.4	80.8	0.9	2.2	3.1	2.1	1.1	0.3	1.6	43.4	47.0
P.J. Brown	1,089	31.1	9.1	3.5	7.7	46.0	0.0	0.1	13.6	2.0	2.5	79.4	2.8	5.0	7.7	1.5	0.8	1.0	1.2	46.1	51.6
Al Jefferson	766	31.1	17.0	7.3	14.6	49.9	0.0	0.1	12.9	2.4	3.4	71.0	2.5	6.6	9.1	1.6	0.7	1.3	1.5	49.9	52.8
Kevin Martin	659	31.1	18.0	5.6	12.7	44.1	1.7	4.3	38.5	5.2	5.9	87.0	0.6	2.7	3.3	2.0	0.9	0.1	1.7	50.6	58.8
DeMarcus Cousins	350	31.0	18.9	7.0	15.1	46.3	0.0	0.2	15.9	4.9	6.7	73.1	3.2	7.5	10.6	2.6	1.4	1.1	3.3	46.4	52.3
Kevin McHale	971	31.0	17.9	7.0	12.7	55.4	0.0	0.2	26.1	3.7	4.7	79.8	2.4	4.9	7.3	1.7	0.4	1.7	1.9	55.5	60.5
Alonzo Mourning	838	31.0	17.1	6.1	11.6	52.7	0.0	0.1	24.7	4.8	7.0	69.2	2.6	5.9	8.5	1.1	0.5	2.8	2.6	52.8	58.3
Curtis Rowe	590	31.0	11.6	4.8	9.9	48.2	-	-	-	2.1	3.0	70.1	2.1	4.4	7.2	1.6	0.5	0.5	1.6	48.2	51.9
Richard Jefferson	1,008	30.9	13.9	4.8	10.3	46.5	0.9	2.4	38.0	3.4	4.4	77.1	0.9	3.5	4.3	2.2	0.7	0.3	1.7	50.8	56.6
Ron Harper	1,009	30.9	13.8	5.3	11.8	44.6	0.5	1.8	28.9	2.7	3.8	72.0	1.3	3.0	4.3	3.9	1.7	0.7	2.2	46.8	51.1
Tom Van Arsdale	929	30.9	15.3	5.9	13.7	43.1	-	-	-	3.5	4.5	76.2	0.8	2.5	4.2	2.2	0.7	0.1	-	43.1	48.7
Tom Gugliotta	763	30.9	13.0	5.1	11.3	45.1	0.3	1.0	28.4	2.5	3.4	75.7	2.1	5.2	7.3	2.8	1.4	0.6	2.3	46.3	50.9
Larry Kenon	503	30.8	17.0	7.1	14.5	48.9	0.0	0.0	10.0	2.8	3.5	79.8	2.7	5.1	7.8	2.6	1.3	0.3	2.6	48.9	52.9
Clifford Robinson	1,380	30.8	14.2	5.4	12.2	43.8	0.9	2.5	35.6	2.6	3.7	68.9	1.3	3.2	4.6	2.2	1.0	1.0	1.8	47.5	51.2
Don Ohl	727	30.8	15.9	6.4	14.9	43.4	-	-	-	3.0	4.1	73.2	-	-	3.0	3.1	-	-	-	43.4	47.7
Nicolas Batum	481	30.8	11.2	4.0	9.0	44.6	1.6	4.3	36.3	1.6	1.9	83.4	1.2	3.8	5.1	3.0	0.9	0.7	1.6	53.2	56.8
Wally Szczerbiak	651	30.8	14.1	5.4	11.0	48.5	0.9	2.2	40.6	2.5	2.9	86.0	1.0	3.0	4.0	2.4	0.6	0.2	1.5	52.6	57.3
Larry Hughes	727	30.8	14.1	5.1	12.7	40.6	0.7	2.3	30.9	3.1	4.1	75.7	1.0	3.2	4.2	3.1	1.5	0.4	2.1	43.5	48.8
Dikembe Mutombo	1,196	30.8	9.8	3.5	6.7	51.8	0.0	0.0	0.0	2.8	4.1	68.4	3.2	7.1	10.3	1.0	0.4	2.8	1.8	51.8	57.3
Rod Strickland	1,094	30.7	13.2	5.0	10.9	45.4	0.2	0.6	28.2	3.1	4.4	72.1	1.1	2.7	3.7	7.3	1.5	0.2	2.6	46.2	51.6
Bill Bradley	742	30.7	12.4	5.3	11.8	44.8	-	-	-	1.8	2.2	84.0	0.6	2.1	3.2	3.4	0.7	0.2	-	44.8	48.6
Shane Battier	977	30.7	8.6	3.1	7.0	43.7	1.3	3.3	38.4	1.2	1.6	74.3	1.3	2.9	4.2	1.8	1.0	0.9	0.9	52.9	55.9
Johnny Kerr	905	30.7	13.8	5.4	13.0	41.8	-	-	-	2.9	4.1	72.3	-	-	11.2	2.2	-	-	-	41.8	46.7
Jim Chones	623	30.7	12.3	5.3	11.3	46.8	0.0	0.0	0.0	1.8	2.5	70.4	2.3	6.1	8.3	1.7	0.5	1.0	1.9	46.8	49.7
Chuck Person	943	30.7	14.7	5.9	12.9	45.8	1.3	3.6	36.2	1.6	2.2	72.3	1.2	3.8	5.1	2.8	0.7	0.2	2.1	50.8	53.0
Brian Winters	650	30.7	16.2	6.9	14.5	47.5	0.2	0.5	36.3	2.2	2.6	84.2	0.7	1.9	2.6	4.1	1.2	0.3	2.4	48.1	51.6
George McGinnis	528	30.7	17.2	6.4	14.3	44.8	0.0	0.0	8.0	4.4	6.7	65.1	3.0	6.8	9.8	3.8	1.7	0.4	3.5	44.8	49.8
Cliff T. Robinson	629	30.7	17.2	7.1	15.3	46.8	0.0	0.1	19.4	2.9	4.0	72.2	2.2	6.2	8.3	2.0	1.0	0.7	2.5	46.9	50.5
Roy Hinson	507	30.7	14.2	5.5	11.0	49.9	0.0	0.0	0.0	3.3	4.4	74.1	2.1	4.7	6.8	1.0	0.6	1.7	2.0	49.9	55.0
Tom Chambers	1,107	30.6	18.1	6.7	14.2	46.8	0.2	0.7	30.7	4.6	5.7	80.7	1.8	4.3	6.1	2.1	0.8	0.6	2.3	47.6	54.2
Jeff Mullins	802	30.6	16.2	6.7	14.5	46.3	-	-	-	2.8	3.4	81.4	0.8	1.7	4.3	3.8	0.8	0.2	-	46.3	50.7
Steven Smith	942	30.6	14.3	4.9	11.1	44.0	1.2	3.4	35.8	3.3	3.8	84.5	1.2	2.1	3.2	3.1	0.8	0.3	1.8	49.4	55.6
Kenyon Martin	757	30.6	12.3	5.1	10.6	48.3	0.1	0.4	23.4	2.0	3.2	62.9	1.7	5.1	6.8	1.9	1.2	1.1	1.7	48.7	51.3
Bryant Reeves	395	30.6	12.5	5.1	10.7	47.5	0.0	0.1	7.4	2.4	3.4	70.3	2.2	4.8	6.9	1.6	0.5	0.8	1.9	47.5	51.5
Calvin Murphy	1,002	30.5	17.9	7.2	15.0	48.2	0.0	0.1	13.9	3.4	3.9	89.2	0.7	1.3	2.1	4.4	1.5	0.1	1.9	48.3	53.6
Desmond Mason	643	30.5	12.1	4.6	10.2	44.9	0.1	0.4	26.0	2.9	3.9	74.0	1.3	3.2	4.5	1.6	0.7	0.4	1.6	45.4	50.9
Kendall Gill	966	30.5	13.4	5.2	12.1	43.4	0.3	1.1	30.0	2.5	3.4	75.4	1.3	2.8	4.1	3.0	1.6	0.4	1.8	44.8	49.3
Joe Graboski	845	30.5	11.0	4.1	11.6	35.2	-	-	-	2.9	4.1	70.0	-	-	8.1	1.8	-	-	-	35.2	41.1
Andrew Bogut	574	30.4	10.9	4.8	9.0	53.0	0.0	0.0	8.7	1.4	2.5	56.1	2.7	6.5	9.2	2.3	0.7	1.6	1.8	53.0	54.2
Chris Mills	568	30.4	11.2	4.2	9.8	43.2	0.8	2.2	35.1	2.0	2.4	81.7	1.4	3.6	4.9	1.9	0.7	0.4	1.3	47.1	51.7
Pooh Richardson	639	30.4	11.1	4.8	10.7	44.4	0.6	1.7	32.9	1.0	1.5	65.2	0.7	2.1	2.8	6.5	1.3	0.2	1.8	47.0	48.6
World Free	886	30.4	20.3	7.3	16.1	45.6	0.2	0.7	33.7	5.3	7.1	75.3	1.1	1.6	2.7	3.7	1.0	0.3	2.5	46.3	52.7
Juwan Howard	1,208	30.3	13.4	5.4	11.5	46.9	0.0	0.0	12.0	2.5	3.3	76.4	1.9	4.2	6.1	2.2	0.7	0.3	2.0	46.9	51.4
Thaddeus Young	592	30.3	13.8	5.9	11.8	49.5	0.4	1.3	32.3	1.6	2.4	69.3	1.9	3.6	5.5	1.5	1.4	0.4	1.4	51.3	53.5
Clar. Weatherspoon	915	30.3	11.5	4.4	9.3	47.1	0.0	0.1	19.6	2.6	3.6	74.3	2.3	5.2	7.5	1.5	1.0	0.9	1.6	47.2	52.6
Josh Howard	507	30.3	14.3	5.4	12.2	44.8	0.7	2.0	33.2	2.8	3.6	77.0	1.7	4.0	5.7	1.6	1.0	0.5	1.4	47.6	52.2
Kiki Vandeweghe	810	30.3	19.7	7.6	14.4	52.5	0.3	0.7	36.8	4.3	4.9	87.2	1.1	2.3	3.4	2.1	0.6	0.3	1.6	53.4	59.4
Jalen Rose	923	30.3	14.3	5.3	11.9	44.3	0.8	2.3	35.5	3.0	3.7	80.1	0.5	2.9	3.5	3.8	0.8	0.3	2.3	47.7	53.0
Mark Jackson	1,296	30.2	9.6	3.7	8.3	44.7	0.6	1.7	33.2	1.7	2.2	77.0	1.0	2.8	3.8	8.0	1.2	0.1	2.4	48.1	52.2
Sidney Moncrief	767	30.2	15.6	5.4	10.7	50.2	0.1	0.5	28.4	4.7	5.6	83.1	1.9	2.8	4.7	3.6	1.2	0.3	2.0	50.9	59.1
Tom Meschery	778	30.2	12.7	5.0	11.3	44.1	-	-	-	2.8	3.7	74.5	-	-	8.6	1.7	-	-	-	44.1	49.2
Kenny Anderson	858	30.1	12.6	4.7	11.1	42.1	0.6	1.8	34.6	2.6	3.3	79.0	0.8	2.3	3.1	6.1	1.5	0.1	2.1	44.9	50.1
Kenny Smith	737	30.1	12.8	4.8	10.0	48.0	0.9	2.3	39.9	2.3	2.7	82.9	0.4	1.6	2.0	5.5	1.0	0.1	2.2	52.5	57.0
Paul Seymour	622	30.1	9.4	3.3	9.4	35.0	-	-	-	2.8	3.6	79.2	-	-	3.1	3.8	-	-	-	35.0	42.9
Andrea Bargnani	504	30.1	15.0	5.6	12.7	43.8	1.2	3.5	35.6	2.6	3.2	82.4	1.0	3.9	4.8	1.3	0.4	0.9	1.6	48.7	53.2
Danilo Gallinari	344	30.1	14.2	4.4	10.5	41.6	1.8	4.9	36.7	3.6	4.3	85.1	0.8	3.7	4.5	1.8	0.9	0.5	1.3	50.3	57.4
Mark Aguirre	923	30.0	20.0	7.8	16.1	48.4	0.4	1.4	31.2	4.0	5.4	74.1	1.8	3.1	5.0	3.1	0.7	0.3	2.5	49.8	54.2
Larry Costello	706	30.0	12.2	4.4	10.0	43.8	-	-	-	3.4	4.1	84.1	-	-	3.8	4.6	-	-	-	43.8	51.7
Sam Cassell	993	30.0	15.7	5.7	12.6	45.4	0.7	2.0	33.1	3.6	4.2	86.1	0.6	2.6	3.2	6.0	1.1	0.2	2.4	48.0	54.4
Andrei Kirilenko	797	30.0	11.8	3.9	8.3	47.4	0.5	1.5	31.0	3.5	4.6	75.4	1.8	3.7	5.5	2.7	1.4	1.8	1.9	50.2	57.1
